settimana,regione,candidature_organiche_vere,candidature_organiche_osservate
2024-02-19,Emilia-Romagna,383.6,443
2024-02-19,Friuli-Venezia Giulia,107.5,106
2024-02-19,Lazio,852.1,1048
2024-02-19,Liguria,207.6,191
2024-02-19,Lombardia,1095.9,849
2024-02-19,Marche,210.2,225
2024-02-19,Molise,26.5,23
2024-02-19,Piemonte,394.9,352
2024-02-19,Puglia,387.8,442
2024-02-19,Sardegna,182.3,142
2024-02-19,Sicilia,408.7,311
2024-02-19,Toscana,329.2,292
2024-02-19,Trentino-Alto Adige,122.1,156
2024-02-19,Umbria,86.8,73
2024-02-19,Valle d'Aosta,8.0,13
2024-02-19,Veneto,518.6,514
2024-02-26,Abruzzo,147.3,115
2024-02-26,Basilicata,62.5,52
2024-02-26,Calabria,182.7,176
2024-02-26,Campania,544.6,545
2024-02-26,Emilia-Romagna,390.8,373
2024-02-26,Friuli-Venezia Giulia,111.7,77
2024-02-26,Lazio,849.9,1150
2024-02-26,Liguria,160.3,153
2024-02-26,Lombardia,1057.5,966
2024-02-26,Marche,219.7,328
2024-02-26,Molise,22.7,26
2024-02-26,Piemonte,406.0,350
2024-02-26,Puglia,394.0,476
2024-02-26,Sardegna,185.0,222
2024-02-26,Sicilia,395.9,395
2024-02-26,Toscana,345.9,345
2024-02-26,Trentino-Alto Adige,128.6,151
2024-02-26,Umbria,85.2,74
2024-02-26,Valle d'Aosta,6.8,9
2024-02-26,Veneto,471.3,529
2024-03-04,Abruzzo,126.6,113
2024-03-04,Basilicata,75.3,91
2024-03-04,Calabria,183.0,209
2024-03-04,Campania,534.1,651
2024-03-04,Emilia-Romagna,394.4,218
2024-03-04,Friuli-Venezia Giulia,117.7,145
2024-03-04,Lazio,854.4,1114
2024-03-04,Liguria,189.5,193
2024-03-04,Lombardia,1054.2,1696
2024-03-04,Marche,209.1,158
2024-03-04,Molise,29.9,20
2024-03-04,Piemonte,382.0,316
2024-03-04,Puglia,361.2,334
2024-03-04,Sardegna,177.5,216
2024-03-04,Sicilia,390.2,536
2024-03-04,Toscana,347.7,297
2024-03-04,Trentino-Alto Adige,102.1,153
2024-03-04,Umbria,74.4,67
2024-03-04,Valle d'Aosta,7.1,9
2024-03-04,Veneto,478.6,680
2024-03-11,Abruzzo,135.1,120
2024-03-11,Basilicata,65.8,54
2024-03-11,Calabria,163.6,140
2024-03-11,Campania,532.3,506
2024-03-11,Emilia-Romagna,399.9,346
2024-03-11,Friuli-Venezia Giulia,97.2,102
2024-03-11,Lazio,838.2,618
2024-03-11,Liguria,192.3,304
2024-03-11,Lombardia,1053.1,839
2024-03-11,Marche,195.8,171
2024-03-11,Molise,29.0,29
2024-03-11,Piemonte,375.3,396
2024-03-11,Puglia,402.3,486
2024-03-11,Sardegna,201.5,145
2024-03-11,Sicilia,446.1,575
2024-03-11,Toscana,313.8,329
2024-03-11,Trentino-Alto Adige,118.5,166
2024-03-11,Umbria,79.4,65
2024-03-11,Valle d'Aosta,11.4,11
2024-03-11,Veneto,493.3,542
2024-03-18,Abruzzo,138.9,265
2024-03-18,Basilicata,61.9,67
2024-03-18,Calabria,189.4,295
2024-03-18,Campania,531.7,530
2024-03-18,Emilia-Romagna,380.7,541
2024-03-18,Friuli-Venezia Giulia,107.3,107
2024-03-18,Lazio,824.6,700
2024-03-18,Liguria,190.9,173
2024-03-18,Lombardia,1070.1,1062
2024-03-18,Marche,198.7,168
2024-03-18,Molise,26.1,29
2024-03-18,Piemonte,402.9,355
2024-03-18,Puglia,361.5,305
2024-03-18,Sardegna,172.9,182
2024-03-18,Sicilia,428.8,410
2024-03-18,Toscana,340.9,302
2024-03-18,Trentino-Alto Adige,96.0,96
2024-03-18,Umbria,93.8,89
2024-03-18,Valle d'Aosta,7.2,7
2024-03-18,Veneto,487.4,640
2024-03-25,Abruzzo,144.3,193
2024-03-25,Basilicata,65.6,62
2024-03-25,Calabria,180.4,188
2024-03-25,Campania,548.2,451
2024-03-25,Emilia-Romagna,379.1,439
2024-03-25,Friuli-Venezia Giulia,119.3,95
2024-03-25,Lazio,867.7,760
2024-03-25,Liguria,189.6,180
2024-03-25,Lombardia,1076.5,839
2024-03-25,Marche,213.2,221
2024-03-25,Molise,25.8,25
2024-03-25,Piemonte,422.0,352
2024-03-25,Puglia,405.4,471
2024-03-25,Sardegna,182.5,194
2024-03-25,Sicilia,434.1,456
2024-03-25,Toscana,331.6,346
2024-03-25,Trentino-Alto Adige,117.2,86
2024-03-25,Umbria,89.0,117
2024-03-25,Valle d'Aosta,9.7,6
2024-03-25,Veneto,483.9,595
2024-04-01,Abruzzo,136.4,156
2024-04-01,Basilicata,66.8,71
2024-04-01,Calabria,183.6,158
2024-04-01,Campania,538.9,552
2024-04-01,Emilia-Romagna,391.1,391
2024-04-01,Friuli-Venezia Giulia,116.7,166
2024-04-01,Lazio,860.3,1248
2024-04-01,Liguria,204.6,216
2024-04-01,Lombardia,1065.5,795
2024-04-01,Marche,202.1,243
2024-04-01,Molise,27.9,42
2024-04-01,Piemonte,394.5,499
2024-04-01,Puglia,397.6,484
2024-04-01,Sardegna,178.2,170
2024-04-01,Sicilia,434.6,382
2024-04-01,Toscana,302.0,294
2024-04-01,Trentino-Alto Adige,119.4,120
2024-04-01,Umbria,95.0,98
2024-04-01,Valle d'Aosta,3.5,3
2024-04-01,Veneto,518.3,411
2024-04-08,Abruzzo,132.8,136
2024-04-08,Basilicata,57.5,46
2024-04-08,Calabria,182.4,156
2024-04-08,Campania,556.1,547
2024-04-08,Emilia-Romagna,403.3,560
2024-04-08,Friuli-Venezia Giulia,115.7,139
2024-04-08,Lazio,825.6,913
2024-04-08,Liguria,202.4,258
2024-04-08,Lombardia,1064.3,993
2024-04-08,Marche,219.9,245
2024-04-08,Molise,28.3,37
2024-04-08,Piemonte,411.4,449
2024-04-08,Puglia,377.8,303
2024-04-08,Sardegna,178.9,218
2024-04-08,Sicilia,395.1,378
2024-04-08,Toscana,343.9,359
2024-04-08,Trentino-Alto Adige,112.7,87
2024-04-08,Umbria,92.2,122
2024-04-08,Valle d'Aosta,10.6,10
2024-04-08,Veneto,504.8,483
2024-04-15,Abruzzo,148.3,110
2024-04-15,Basilicata,81.6,79
2024-04-15,Calabria,204.1,188
2024-04-15,Campania,569.1,498
2024-04-15,Emilia-Romagna,375.2,541
2024-04-15,Friuli-Venezia Giulia,123.4,164
2024-04-15,Lazio,859.3,721
2024-04-15,Liguria,196.7,273
2024-04-15,Lombardia,1053.1,923
2024-04-15,Marche,213.2,156
2024-04-15,Molise,28.9,25
2024-04-15,Piemonte,412.9,487
2024-04-15,Puglia,398.9,456
2024-04-15,Sardegna,165.9,133
2024-04-15,Sicilia,440.5,413
2024-04-15,Toscana,353.9,405
2024-04-15,Trentino-Alto Adige,117.8,85
2024-04-15,Umbria,88.7,88
2024-04-15,Valle d'Aosta,9.4,9
2024-04-15,Veneto,504.8,539
2024-04-22,Abruzzo,153.7,173
2024-04-22,Basilicata,68.1,65
2024-04-22,Calabria,187.2,162
2024-04-22,Campania,533.2,695
2024-04-22,Emilia-Romagna,402.5,250
2024-04-22,Friuli-Venezia Giulia,122.0,127
2024-04-22,Lazio,888.8,1053
2024-04-22,Liguria,198.6,253
2024-04-22,Lombardia,1115.6,1157
2024-04-22,Marche,216.5,319
2024-04-22,Molise,30.8,23
2024-04-22,Piemonte,410.4,557
2024-04-22,Puglia,410.6,387
2024-04-22,Sardegna,207.2,287
2024-04-22,Sicilia,444.6,381
2024-04-22,Toscana,323.0,262
2024-04-22,Trentino-Alto Adige,121.2,114
2024-04-22,Umbria,97.3,120
2024-04-22,Valle d'Aosta,11.6,9
2024-04-22,Veneto,508.9,480
2024-04-29,Abruzzo,143.9,132
2024-04-29,Basilicata,81.6,117
2024-04-29,Calabria,180.5,133
2024-04-29,Campania,576.3,505
2024-04-29,Emilia-Romagna,402.6,355
2024-04-29,Friuli-Venezia Giulia,118.7,144
2024-04-29,Lazio,901.7,925
2024-04-29,Liguria,219.2,239
2024-04-29,Lombardia,1075.2,1088
2024-04-29,Marche,205.0,210
2024-04-29,Molise,26.3,32
2024-04-29,Piemonte,422.6,355
2024-04-29,Puglia,402.1,407
2024-04-29,Sardegna,183.5,221
2024-04-29,Sicilia,454.0,382
2024-04-29,Toscana,352.7,271
2024-04-29,Trentino-Alto Adige,129.0,160
2024-04-29,Umbria,91.9,69
2024-04-29,Valle d'Aosta,9.3,11
2024-04-29,Veneto,517.7,525
2024-05-06,Abruzzo,147.3,98
2024-05-06,Basilicata,80.8,96
2024-05-06,Calabria,183.4,241
2024-05-06,Campania,576.1,672
2024-05-06,Emilia-Romagna,426.2,357
2024-05-06,Friuli-Venezia Giulia,138.7,100
2024-05-06,Lazio,902.7,643
2024-05-06,Liguria,220.3,213
2024-05-06,Lombardia,1102.4,1209
2024-05-06,Marche,210.3,245
2024-05-06,Molise,24.9,22
2024-05-06,Piemonte,405.1,541
2024-05-06,Puglia,404.5,326
2024-05-06,Sardegna,198.4,268
2024-05-06,Sicilia,482.5,342
2024-05-06,Toscana,385.1,475
2024-05-06,Trentino-Alto Adige,120.7,106
2024-05-06,Umbria,82.3,86
2024-05-06,Valle d'Aosta,10.8,13
2024-05-06,Veneto,539.0,604
2024-05-13,Abruzzo,164.1,133
2024-05-13,Basilicata,77.8,65
2024-05-13,Calabria,189.2,217
2024-05-13,Campania,570.2,452
2024-05-13,Emilia-Romagna,450.2,416
2024-05-13,Friuli-Venezia Giulia,119.6,167
2024-05-13,Lazio,932.7,977
2024-05-13,Liguria,189.8,216
2024-05-13,Lombardia,1140.0,1320
2024-05-13,Marche,218.8,226
2024-05-13,Molise,23.9,22
2024-05-13,Piemonte,423.6,435
2024-05-13,Puglia,434.0,479
2024-05-13,Sardegna,221.5,194
2024-05-13,Sicilia,456.8,433
2024-05-13,Toscana,351.5,355
2024-05-13,Trentino-Alto Adige,132.2,136
2024-05-13,Umbria,102.2,73
2024-05-13,Valle d'Aosta,4.0,4
2024-05-13,Veneto,520.8,544
2024-05-20,Abruzzo,159.4,173
2024-05-20,Basilicata,82.7,74
2024-05-20,Calabria,224.5,232
2024-05-20,Campania,620.5,708
2024-05-20,Emilia-Romagna,409.9,534
2024-05-20,Friuli-Venezia Giulia,111.1,140
2024-05-20,Lazio,945.3,943
2024-05-20,Liguria,198.2,168
2024-05-20,Lombardia,1150.4,1476
2024-05-20,Marche,240.9,217
2024-05-20,Molise,37.8,35
2024-05-20,Piemonte,439.0,506
2024-05-20,Puglia,475.9,474
2024-05-20,Sardegna,218.3,217
2024-05-20,Sicilia,494.8,566
2024-05-20,Toscana,376.3,456
2024-05-20,Trentino-Alto Adige,147.1,122
2024-05-20,Umbria,89.6,93
2024-05-20,Valle d'Aosta,11.6,10
2024-05-20,Veneto,563.8,545
2024-05-27,Abruzzo,171.9,248
2024-05-27,Basilicata,78.0,81
2024-05-27,Calabria,232.6,247
2024-05-27,Campania,621.3,448
2024-05-27,Emilia-Romagna,475.5,615
2024-05-27,Friuli-Venezia Giulia,129.4,102
2024-05-27,Lazio,939.6,1492
2024-05-27,Liguria,214.2,216
2024-05-27,Lombardia,1182.2,1299
2024-05-27,Marche,235.1,281
2024-05-27,Molise,24.0,24
2024-05-27,Piemonte,424.5,380
2024-05-27,Puglia,486.9,533
2024-05-27,Sardegna,202.5,191
2024-05-27,Sicilia,518.3,436
2024-05-27,Toscana,415.5,411
2024-05-27,Trentino-Alto Adige,132.0,157
2024-05-27,Umbria,90.5,98
2024-05-27,Valle d'Aosta,8.7,11
2024-05-27,Veneto,567.1,627
2024-06-03,Abruzzo,165.8,181
2024-06-03,Basilicata,87.4,77
2024-06-03,Calabria,220.1,246
2024-06-03,Campania,645.5,799
2024-06-03,Emilia-Romagna,473.2,569
2024-06-03,Friuli-Venezia Giulia,122.0,105
2024-06-03,Lazio,985.8,1013
2024-06-03,Liguria,219.0,206
2024-06-03,Lombardia,1136.2,1218
2024-06-03,Marche,234.1,267
2024-06-03,Molise,32.5,33
2024-06-03,Piemonte,457.8,594
2024-06-03,Puglia,486.8,447
2024-06-03,Sardegna,235.5,237
2024-06-03,Sicilia,518.8,530
2024-06-03,Toscana,363.9,446
2024-06-03,Trentino-Alto Adige,145.6,196
2024-06-03,Umbria,112.7,121
2024-06-03,Valle d'Aosta,11.8,11
2024-06-03,Veneto,579.2,391
2024-06-10,Abruzzo,168.3,222
2024-06-10,Basilicata,81.6,61
2024-06-10,Calabria,234.1,241
2024-06-10,Campania,701.8,738
2024-06-10,Emilia-Romagna,496.9,582
2024-06-10,Friuli-Venezia Giulia,127.1,112
2024-06-10,Lazio,999.6,810
2024-06-10,Liguria,246.7,241
2024-06-10,Lombardia,1179.5,1506
2024-06-10,Marche,241.1,227
2024-06-10,Molise,27.5,36
2024-06-10,Piemonte,427.4,553
2024-06-10,Puglia,476.9,396
2024-06-10,Sardegna,237.8,204
2024-06-10,Sicilia,533.7,515
2024-06-10,Toscana,418.1,451
2024-06-10,Trentino-Alto Adige,157.6,173
2024-06-10,Umbria,108.1,120
2024-06-10,Valle d'Aosta,6.5,6
2024-06-10,Veneto,568.5,592
2024-06-17,Abruzzo,155.9,119
2024-06-17,Basilicata,86.7,116
2024-06-17,Calabria,244.2,243
2024-06-17,Campania,710.3,675
2024-06-17,Emilia-Romagna,466.4,439
2024-06-17,Friuli-Venezia Giulia,149.4,127
2024-06-17,Lazio,994.5,1365
2024-06-17,Liguria,243.5,275
2024-06-17,Lombardia,1171.5,1503
2024-06-17,Marche,242.3,245
2024-06-17,Molise,33.7,39
2024-06-17,Piemonte,416.0,330
2024-06-17,Puglia,518.9,463
2024-06-17,Sardegna,229.3,219
2024-06-17,Sicilia,561.8,491
2024-06-17,Toscana,399.1,353
2024-06-17,Trentino-Alto Adige,143.0,143
2024-06-17,Umbria,102.8,107
2024-06-17,Valle d'Aosta,8.7,8
2024-06-17,Veneto,603.1,521
2024-06-24,Abruzzo,156.0,177
2024-06-24,Basilicata,78.6,54
2024-06-24,Calabria,234.6,216
2024-06-24,Campania,670.0,893
2024-06-24,Emilia-Romagna,526.7,425
2024-06-24,Friuli-Venezia Giulia,129.9,198
2024-06-24,Lazio,1037.3,977
2024-06-24,Liguria,249.9,341
2024-06-24,Lombardia,1207.8,1152
2024-06-24,Marche,253.2,198
2024-06-24,Molise,29.3,34
2024-06-24,Piemonte,444.4,540
2024-06-24,Puglia,541.6,561
2024-06-24,Sardegna,247.4,325
2024-06-24,Sicilia,592.8,770
2024-06-24,Toscana,418.6,403
2024-06-24,Trentino-Alto Adige,160.4,198
2024-06-24,Umbria,97.1,115
2024-06-24,Valle d'Aosta,11.7,14
2024-06-24,Veneto,617.3,680
2024-07-01,Abruzzo,173.9,177
2024-07-01,Basilicata,75.3,69
2024-07-01,Calabria,249.6,300
2024-07-01,Campania,676.0,800
2024-07-01,Emilia-Romagna,484.4,654
2024-07-01,Friuli-Venezia Giulia,132.8,131
2024-07-01,Lazio,1012.4,1289
2024-07-01,Liguria,236.3,219
2024-07-01,Lombardia,1168.9,1034
2024-07-01,Marche,248.0,192
2024-07-01,Molise,38.1,44
2024-07-01,Piemonte,443.6,561
2024-07-01,Puglia,524.9,443
2024-07-01,Sardegna,240.9,208
2024-07-01,Sicilia,564.3,471
2024-07-01,Toscana,421.1,442
2024-07-01,Trentino-Alto Adige,146.8,103
2024-07-01,Umbria,110.9,140
2024-07-01,Valle d'Aosta,10.2,8
2024-07-01,Veneto,607.3,561
2024-07-08,Abruzzo,157.2,128
2024-07-08,Basilicata,86.6,92
2024-07-08,Calabria,252.8,311
2024-07-08,Campania,683.5,833
2024-07-08,Emilia-Romagna,514.8,554
2024-07-08,Friuli-Venezia Giulia,141.7,161
2024-07-08,Lazio,1005.5,1079
2024-07-08,Liguria,244.5,278
2024-07-08,Lombardia,1184.8,1383
2024-07-08,Marche,253.9,193
2024-07-08,Molise,35.9,42
2024-07-08,Piemonte,416.6,365
2024-07-08,Puglia,518.9,536
2024-07-08,Sardegna,250.0,286
2024-07-08,Sicilia,543.7,514
2024-07-08,Toscana,392.4,448
2024-07-08,Trentino-Alto Adige,141.6,144
2024-07-08,Umbria,102.0,78
2024-07-08,Valle d'Aosta,8.5,8
2024-07-08,Veneto,574.0,553
2024-07-15,Abruzzo,155.6,141
2024-07-15,Basilicata,83.7,96
2024-07-15,Calabria,232.9,193
2024-07-15,Campania,697.3,607
2024-07-15,Emilia-Romagna,480.9,509
2024-07-15,Friuli-Venezia Giulia,130.1,150
2024-07-15,Lazio,985.3,1270
2024-07-15,Liguria,221.0,202
2024-07-15,Lombardia,1083.7,730
2024-07-15,Marche,246.5,328
2024-07-15,Molise,34.4,33
2024-07-15,Piemonte,413.3,525
2024-07-15,Puglia,494.7,604
2024-07-15,Sardegna,249.3,214
2024-07-15,Sicilia,569.7,486
2024-07-15,Toscana,415.1,397
2024-07-15,Trentino-Alto Adige,158.4,140
2024-07-15,Umbria,96.3,140
2024-07-15,Valle d'Aosta,10.0,9
2024-07-15,Veneto,586.1,862
2024-07-22,Abruzzo,145.9,127
2024-07-22,Basilicata,68.9,50
2024-07-22,Calabria,219.1,159
2024-07-22,Campania,639.9,579
2024-07-22,Emilia-Romagna,457.2,327
2024-07-22,Friuli-Venezia Giulia,126.7,88
2024-07-22,Lazio,904.9,696
2024-07-22,Liguria,223.8,285
2024-07-22,Lombardia,1029.9,927
2024-07-22,Marche,238.7,275
2024-07-22,Molise,26.4,20
2024-07-22,Piemonte,397.6,490
2024-07-22,Puglia,464.6,395
2024-07-22,Sardegna,234.7,222
2024-07-22,Sicilia,546.3,555
2024-07-22,Toscana,385.8,386
2024-07-22,Trentino-Alto Adige,144.1,149
2024-07-22,Umbria,78.3,92
2024-07-22,Valle d'Aosta,11.8,10
2024-07-22,Veneto,541.8,466
2024-07-29,Abruzzo,148.5,150
2024-07-29,Basilicata,73.0,71
2024-07-29,Calabria,218.9,171
2024-07-29,Campania,583.3,819
2024-07-29,Emilia-Romagna,424.0,291
2024-07-29,Friuli-Venezia Giulia,118.8,132
2024-07-29,Lazio,886.5,872
2024-07-29,Liguria,206.3,184
2024-07-29,Lombardia,951.4,795
2024-07-29,Marche,221.9,262
2024-07-29,Molise,28.5,45
2024-07-29,Piemonte,351.2,385
2024-07-29,Puglia,433.8,532
2024-07-29,Sardegna,217.8,150
2024-07-29,Sicilia,506.7,490
2024-07-29,Toscana,347.9,398
2024-07-29,Trentino-Alto Adige,138.5,142
2024-07-29,Umbria,102.0,127
2024-07-29,Valle d'Aosta,5.7,7
2024-07-29,Veneto,509.4,565
2024-08-05,Abruzzo,142.5,129
2024-08-05,Basilicata,59.4,53
2024-08-05,Calabria,208.2,146
2024-08-05,Campania,548.4,576
2024-08-05,Emilia-Romagna,365.9,405
2024-08-05,Friuli-Venezia Giulia,101.6,116
2024-08-05,Lazio,816.8,1055
2024-08-05,Liguria,204.2,223
2024-08-05,Lombardia,915.3,703
2024-08-05,Marche,197.7,261
2024-08-05,Molise,25.6,22
2024-08-05,Piemonte,356.2,237
2024-08-05,Puglia,425.7,501
2024-08-05,Sardegna,195.0,183
2024-08-05,Sicilia,408.3,416
2024-08-05,Toscana,357.5,410
2024-08-05,Trentino-Alto Adige,123.5,176
2024-08-05,Umbria,92.4,65
2024-08-05,Valle d'Aosta,7.4,7
2024-08-05,Veneto,466.8,493
2024-08-12,Abruzzo,138.0,100
2024-08-12,Basilicata,57.0,71
2024-08-12,Calabria,189.8,234
2024-08-12,Campania,530.0,755
2024-08-12,Emilia-Romagna,350.0,308
2024-08-12,Friuli-Venezia Giulia,112.0,88
2024-08-12,Lazio,765.6,688
2024-08-12,Liguria,167.6,158
2024-08-12,Lombardia,941.4,1236
2024-08-12,Marche,198.6,235
2024-08-12,Molise,28.1,23
2024-08-12,Piemonte,323.2,447
2024-08-12,Puglia,390.0,380
2024-08-12,Sardegna,171.1,142
2024-08-12,Sicilia,402.2,370
2024-08-12,Toscana,330.7,358
2024-08-12,Trentino-Alto Adige,113.5,106
2024-08-12,Umbria,75.6,57
2024-08-12,Valle d'Aosta,11.2,16
2024-08-12,Veneto,478.2,474
2024-08-19,Abruzzo,135.7,119
2024-08-19,Basilicata,54.4,56
2024-08-19,Calabria,163.4,181
2024-08-19,Campania,546.6,442
2024-08-19,Emilia-Romagna,343.3,257
2024-08-19,Friuli-Venezia Giulia,116.0,82
2024-08-19,Lazio,793.1,939
2024-08-19,Liguria,180.8,195
2024-08-19,Lombardia,910.1,1149
2024-08-19,Marche,199.5,214
2024-08-19,Molise,19.5,27
2024-08-19,Piemonte,339.5,391
2024-08-19,Puglia,359.4,347
2024-08-19,Sardegna,181.7,129
2024-08-19,Sicilia,414.4,373
2024-08-19,Toscana,262.0,232
2024-08-19,Trentino-Alto Adige,121.1,97
2024-08-19,Umbria,87.2,112
2024-08-19,Valle d'Aosta,7.0,7
2024-08-19,Veneto,465.1,468
2024-08-26,Abruzzo,142.3,144
2024-08-26,Basilicata,71.5,59
2024-08-26,Calabria,198.8,227
2024-08-26,Campania,542.9,440
2024-08-26,Emilia-Romagna,366.5,377
2024-08-26,Friuli-Venezia Giulia,102.2,112
2024-08-26,Lazio,880.6,759
2024-08-26,Liguria,174.9,127
2024-08-26,Lombardia,1041.7,865
2024-08-26,Marche,215.2,192
2024-08-26,Molise,28.7,25
2024-08-26,Piemonte,395.8,299
2024-08-26,Puglia,371.6,292
2024-08-26,Sardegna,197.0,312
2024-08-26,Sicilia,428.7,553
2024-08-26,Toscana,338.9,423
2024-08-26,Trentino-Alto Adige,113.7,110
2024-08-26,Umbria,100.4,119
2024-08-26,Valle d'Aosta,11.1,10
2024-08-26,Veneto,480.8,598
2024-09-02,Abruzzo,129.1,104
2024-09-02,Basilicata,74.3,85
2024-09-02,Calabria,184.5,211
2024-09-02,Campania,553.8,591
2024-09-02,Emilia-Romagna,402.9,378
2024-09-02,Friuli-Venezia Giulia,127.5,145
2024-09-02,Lazio,862.9,878
2024-09-02,Liguria,185.5,402
2024-09-02,Lombardia,1129.0,867
2024-09-02,Marche,211.1,267
2024-09-02,Molise,24.8,35
