settimana,regione,richieste_clienti
2024-03-25,Sicilia,227
2024-03-25,Toscana,148
2024-03-25,Trentino-Alto Adige,43
2024-03-25,Umbria,45
2024-03-25,Valle d'Aosta,3
2024-03-25,Veneto,176
2024-04-01,Abruzzo,59
2024-04-01,Basilicata,13
2024-04-01,Calabria,69
2024-04-01,Campania,224
2024-04-01,Emilia-Romagna,176
2024-04-01,Friuli-Venezia Giulia,48
2024-04-01,Lazio,253
2024-04-01,Liguria,81
2024-04-01,Lombardia,375
2024-04-01,Marche,63
2024-04-01,Molise,12
2024-04-01,Piemonte,177
2024-04-01,Puglia,152
2024-04-01,Sardegna,52
2024-04-01,Sicilia,204
2024-04-01,Toscana,132
2024-04-01,Trentino-Alto Adige,48
2024-04-01,Umbria,43
2024-04-01,Valle d'Aosta,0
2024-04-01,Veneto,213
2024-04-08,Abruzzo,40
2024-04-08,Basilicata,1
2024-04-08,Calabria,79
2024-04-08,Campania,225
2024-04-08,Emilia-Romagna,188
2024-04-08,Friuli-Venezia Giulia,43
2024-04-08,Lazio,185
2024-04-08,Liguria,71
2024-04-08,Lombardia,387
2024-04-08,Marche,76
2024-04-08,Molise,8
2024-04-08,Piemonte,199
2024-04-08,Puglia,131
2024-04-08,Sardegna,56
2024-04-08,Sicilia,186
2024-04-08,Toscana,146
2024-04-08,Trentino-Alto Adige,38
2024-04-08,Umbria,48
2024-04-08,Valle d'Aosta,6
2024-04-08,Veneto,208
2024-04-15,Abruzzo,58
2024-04-15,Basilicata,30
2024-04-15,Calabria,96
2024-04-15,Campania,239
2024-04-15,Emilia-Romagna,138
2024-04-15,Friuli-Venezia Giulia,55
2024-04-15,Lazio,189
2024-04-15,Liguria,67
2024-04-15,Lombardia,364
2024-04-15,Marche,63
2024-04-15,Molise,10
2024-04-15,Piemonte,196
2024-04-15,Puglia,169
2024-04-15,Sardegna,34
2024-04-15,Sicilia,198
2024-04-15,Toscana,178
2024-04-15,Trentino-Alto Adige,45
2024-04-15,Umbria,42
2024-04-15,Valle d'Aosta,5
2024-04-15,Veneto,183
2024-04-22,Abruzzo,63
2024-04-22,Basilicata,17
2024-04-22,Calabria,75
2024-04-22,Campania,170
2024-04-22,Emilia-Romagna,180
2024-04-22,Friuli-Venezia Giulia,49
2024-04-22,Lazio,235
2024-04-22,Liguria,59
2024-04-22,Lombardia,389
2024-04-22,Marche,46
2024-04-22,Molise,15
2024-04-22,Piemonte,174
2024-04-22,Puglia,162
2024-04-22,Sardegna,77
2024-04-22,Sicilia,218
2024-04-22,Toscana,117
2024-04-22,Trentino-Alto Adige,48
2024-04-22,Umbria,44
2024-04-22,Valle d'Aosta,6
2024-04-22,Veneto,207
2024-04-29,Abruzzo,43
2024-04-29,Basilicata,28
2024-04-29,Calabria,45
2024-04-29,Campania,234
2024-04-29,Emilia-Romagna,148
2024-04-29,Friuli-Venezia Giulia,53
2024-04-29,Lazio,209
2024-04-29,Liguria,80
2024-04-29,Lombardia,398
2024-04-29,Marche,53
2024-04-29,Molise,9
2024-04-29,Piemonte,210
2024-04-29,Puglia,167
2024-04-29,Sardegna,57
2024-04-29,Sicilia,216
2024-04-29,Toscana,161
2024-04-29,Trentino-Alto Adige,44
2024-04-29,Umbria,34
2024-04-29,Valle d'Aosta,6
2024-04-29,Veneto,201
2024-05-06,Abruzzo,53
2024-05-06,Basilicata,30
2024-05-06,Calabria,60
2024-05-06,Campania,219
2024-05-06,Emilia-Romagna,211
2024-05-06,Friuli-Venezia Giulia,58
2024-05-06,Lazio,229
2024-05-06,Liguria,75
2024-05-06,Lombardia,379
2024-05-06,Marche,37
2024-05-06,Molise,4
2024-05-06,Piemonte,169
2024-05-06,Puglia,151
2024-05-06,Sardegna,78
2024-05-06,Sicilia,232
2024-05-06,Toscana,163
2024-05-06,Trentino-Alto Adige,45
2024-05-06,Umbria,25
2024-05-06,Valle d'Aosta,6
2024-05-06,Veneto,229
2024-05-13,Abruzzo,56
2024-05-13,Basilicata,23
2024-05-13,Calabria,73
2024-05-13,Campania,178
2024-05-13,Emilia-Romagna,213
2024-05-13,Friuli-Venezia Giulia,43
2024-05-13,Lazio,250
2024-05-13,Liguria,33
2024-05-13,Lombardia,412
2024-05-13,Marche,61
2024-05-13,Molise,12
2024-05-13,Piemonte,201
2024-05-13,Puglia,169
2024-05-13,Sardegna,92
2024-05-13,Sicilia,191
2024-05-13,Toscana,124
2024-05-13,Trentino-Alto Adige,44
2024-05-13,Umbria,45
2024-05-13,Valle d'Aosta,0
2024-05-13,Veneto,195
2024-05-20,Abruzzo,41
2024-05-20,Basilicata,33
2024-05-20,Calabria,108
2024-05-20,Campania,231
2024-05-20,Emilia-Romagna,128
2024-05-20,Friuli-Venezia Giulia,48
2024-05-20,Lazio,248
2024-05-20,Liguria,40
2024-05-20,Lombardia,438
2024-05-20,Marche,85
2024-05-20,Molise,21
2024-05-20,Piemonte,187
2024-05-20,Puglia,192
2024-05-20,Sardegna,67
2024-05-20,Sicilia,186
2024-05-20,Toscana,171
2024-05-20,Trentino-Alto Adige,57
2024-05-20,Umbria,24
2024-05-20,Valle d'Aosta,3
2024-05-20,Veneto,217
2024-05-27,Abruzzo,79
2024-05-27,Basilicata,17
2024-05-27,Calabria,91
2024-05-27,Campania,204
2024-05-27,Emilia-Romagna,205
2024-05-27,Friuli-Venezia Giulia,46
2024-05-27,Lazio,211
2024-05-27,Liguria,52
2024-05-27,Lombardia,470
2024-05-27,Marche,64
2024-05-27,Molise,2
2024-05-27,Piemonte,164
2024-05-27,Puglia,220
2024-05-27,Sardegna,45
2024-05-27,Sicilia,217
2024-05-27,Toscana,224
2024-05-27,Trentino-Alto Adige,31
2024-05-27,Umbria,35
2024-05-27,Valle d'Aosta,4
2024-05-27,Veneto,238
2024-06-03,Abruzzo,55
2024-06-03,Basilicata,29
2024-06-03,Calabria,73
2024-06-03,Campania,220
2024-06-03,Emilia-Romagna,205
2024-06-03,Friuli-Venezia Giulia,46
2024-06-03,Lazio,238
2024-06-03,Liguria,43
2024-06-03,Lombardia,354
2024-06-03,Marche,52
2024-06-03,Molise,13
2024-06-03,Piemonte,206
2024-06-03,Puglia,179
2024-06-03,Sardegna,81
2024-06-03,Sicilia,201
2024-06-03,Toscana,107
2024-06-03,Trentino-Alto Adige,62
2024-06-03,Umbria,59
2024-06-03,Valle d'Aosta,4
2024-06-03,Veneto,222
2024-06-10,Abruzzo,43
2024-06-10,Basilicata,27
2024-06-10,Calabria,53
2024-06-10,Campania,266
2024-06-10,Emilia-Romagna,266
2024-06-10,Friuli-Venezia Giulia,45
2024-06-10,Lazio,264
2024-06-10,Liguria,86
2024-06-10,Lombardia,408
2024-06-10,Marche,55
2024-06-10,Molise,8
2024-06-10,Piemonte,162
2024-06-10,Puglia,135
2024-06-10,Sardegna,51
2024-06-10,Sicilia,215
2024-06-10,Toscana,176
2024-06-10,Trentino-Alto Adige,75
2024-06-10,Umbria,51
2024-06-10,Valle d'Aosta,0
2024-06-10,Veneto,192
2024-06-17,Abruzzo,42
2024-06-17,Basilicata,26
2024-06-17,Calabria,80
2024-06-17,Campania,291
2024-06-17,Emilia-Romagna,168
2024-06-17,Friuli-Venezia Giulia,75
2024-06-17,Lazio,268
2024-06-17,Liguria,79
2024-06-17,Lombardia,416
2024-06-17,Marche,58
2024-06-17,Molise,14
2024-06-17,Piemonte,150
2024-06-17,Puglia,192
2024-06-17,Sardegna,54
2024-06-17,Sicilia,219
2024-06-17,Toscana,151
2024-06-17,Trentino-Alto Adige,47
2024-06-17,Umbria,34
2024-06-17,Valle d'Aosta,4
2024-06-17,Veneto,211
2024-06-24,Abruzzo,40
2024-06-24,Basilicata,16
2024-06-24,Calabria,71
2024-06-24,Campania,231
2024-06-24,Emilia-Romagna,221
2024-06-24,Friuli-Venezia Giulia,46
2024-06-24,Lazio,238
2024-06-24,Liguria,57
2024-06-24,Lombardia,460
2024-06-24,Marche,54
2024-06-24,Molise,8
2024-06-24,Piemonte,189
2024-06-24,Puglia,228
2024-06-24,Sardegna,59
2024-06-24,Sicilia,245
2024-06-24,Toscana,161
2024-06-24,Trentino-Alto Adige,51
2024-06-24,Umbria,32
2024-06-24,Valle d'Aosta,4
2024-06-24,Veneto,217
2024-07-01,Abruzzo,60
2024-07-01,Basilicata,8
2024-07-01,Calabria,88
2024-07-01,Campania,242
2024-07-01,Emilia-Romagna,184
2024-07-01,Friuli-Venezia Giulia,47
2024-07-01,Lazio,235
2024-07-01,Liguria,68
2024-07-01,Lombardia,419
2024-07-01,Marche,72
2024-07-01,Molise,16
2024-07-01,Piemonte,179
2024-07-01,Puglia,180
2024-07-01,Sardegna,69
2024-07-01,Sicilia,203
2024-07-01,Toscana,163
2024-07-01,Trentino-Alto Adige,39
2024-07-01,Umbria,40
2024-07-01,Valle d'Aosta,4
2024-07-01,Veneto,265
2024-07-08,Abruzzo,61
2024-07-08,Basilicata,23
2024-07-08,Calabria,95
2024-07-08,Campania,234
2024-07-08,Emilia-Romagna,233
2024-07-08,Friuli-Venezia Giulia,60
2024-07-08,Lazio,249
2024-07-08,Liguria,79
2024-07-08,Lombardia,464
2024-07-08,Marche,84
2024-07-08,Molise,19
2024-07-08,Piemonte,140
2024-07-08,Puglia,168
2024-07-08,Sardegna,78
2024-07-08,Sicilia,198
2024-07-08,Toscana,124
2024-07-08,Trentino-Alto Adige,25
2024-07-08,Umbria,45
2024-07-08,Valle d'Aosta,0
2024-07-08,Veneto,201
2024-07-15,Abruzzo,32
2024-07-15,Basilicata,25
2024-07-15,Calabria,85
2024-07-15,Campania,280
2024-07-15,Emilia-Romagna,199
2024-07-15,Friuli-Venezia Giulia,58
2024-07-15,Lazio,252
2024-07-15,Liguria,37
2024-07-15,Lombardia,361
2024-07-15,Marche,89
2024-07-15,Molise,12
2024-07-15,Piemonte,157
2024-07-15,Puglia,184
2024-07-15,Sardegna,103
2024-07-15,Sicilia,244
2024-07-15,Toscana,190
2024-07-15,Trentino-Alto Adige,59
2024-07-15,Umbria,41
2024-07-15,Valle d'Aosta,5
2024-07-15,Veneto,244
2024-07-22,Abruzzo,46
2024-07-22,Basilicata,7
2024-07-22,Calabria,79
2024-07-22,Campania,242
2024-07-22,Emilia-Romagna,183
2024-07-22,Friuli-Venezia Giulia,40
2024-07-22,Lazio,206
2024-07-22,Liguria,55
2024-07-22,Lombardia,382
2024-07-22,Marche,72
2024-07-22,Molise,9
2024-07-22,Piemonte,183
2024-07-22,Puglia,148
2024-07-22,Sardegna,66
2024-07-22,Sicilia,242
2024-07-22,Toscana,156
2024-07-22,Trentino-Alto Adige,53
2024-07-22,Umbria,21
2024-07-22,Valle d'Aosta,7
2024-07-22,Veneto,217
2024-07-29,Abruzzo,49
2024-07-29,Basilicata,38
2024-07-29,Calabria,86
2024-07-29,Campania,226
2024-07-29,Emilia-Romagna,199
2024-07-29,Friuli-Venezia Giulia,63
2024-07-29,Lazio,272
2024-07-29,Liguria,69
2024-07-29,Lombardia,362
2024-07-29,Marche,82
2024-07-29,Molise,10
2024-07-29,Piemonte,148
2024-07-29,Puglia,173
2024-07-29,Sardegna,75
2024-07-29,Sicilia,220
2024-07-29,Toscana,142
2024-07-29,Trentino-Alto Adige,39
2024-07-29,Umbria,47
2024-07-29,Valle d'Aosta,0
2024-07-29,Veneto,189
2024-08-05,Abruzzo,61
2024-08-05,Basilicata,7
2024-08-05,Calabria,74
2024-08-05,Campania,218
2024-08-05,Emilia-Romagna,159
2024-08-05,Friuli-Venezia Giulia,33
2024-08-05,Lazio,229
2024-08-05,Liguria,90
2024-08-05,Lombardia,360
2024-08-05,Marche,61
2024-08-05,Molise,6
2024-08-05,Piemonte,182
2024-08-05,Puglia,173
2024-08-05,Sardegna,66
2024-08-05,Sicilia,143
2024-08-05,Toscana,173
2024-08-05,Trentino-Alto Adige,45
2024-08-05,Umbria,40
2024-08-05,Valle d'Aosta,3
2024-08-05,Veneto,186
2024-08-12,Abruzzo,55
2024-08-12,Basilicata,12
2024-08-12,Calabria,79
2024-08-12,Campania,235
2024-08-12,Emilia-Romagna,171
2024-08-12,Friuli-Venezia Giulia,50
2024-08-12,Lazio,220
2024-08-12,Liguria,38
2024-08-12,Lombardia,367
2024-08-12,Marche,77
2024-08-12,Molise,14
2024-08-12,Piemonte,114
2024-08-12,Puglia,182
2024-08-12,Sardegna,52
2024-08-12,Sicilia,191
2024-08-12,Toscana,167
2024-08-12,Trentino-Alto Adige,45
2024-08-12,Umbria,35
2024-08-12,Valle d'Aosta,12
2024-08-12,Veneto,199
2024-08-19,Abruzzo,48
2024-08-19,Basilicata,7
2024-08-19,Calabria,62
2024-08-19,Campania,271
2024-08-19,Emilia-Romagna,155
2024-08-19,Friuli-Venezia Giulia,65
2024-08-19,Lazio,187
2024-08-19,Liguria,45
2024-08-19,Lombardia,317
2024-08-19,Marche,66
2024-08-19,Molise,10
2024-08-19,Piemonte,146
2024-08-19,Puglia,139
2024-08-19,Sardegna,66
2024-08-19,Sicilia,196
2024-08-19,Toscana,52
2024-08-19,Trentino-Alto Adige,53
2024-08-19,Umbria,42
2024-08-19,Valle d'Aosta,7
2024-08-19,Veneto,194
2024-08-26,Abruzzo,64
2024-08-26,Basilicata,24
2024-08-26,Calabria,93
2024-08-26,Campania,231
2024-08-26,Emilia-Romagna,129
2024-08-26,Friuli-Venezia Giulia,36
2024-08-26,Lazio,276
2024-08-26,Liguria,47
2024-08-26,Lombardia,386
2024-08-26,Marche,83
2024-08-26,Molise,13
2024-08-26,Piemonte,203
2024-08-26,Puglia,117
2024-08-26,Sardegna,74
2024-08-26,Sicilia,197
2024-08-26,Toscana,155
2024-08-26,Trentino-Alto Adige,43
2024-08-26,Umbria,44
2024-08-26,Valle d'Aosta,8
2024-08-26,Veneto,190
2024-09-02,Abruzzo,48
2024-09-02,Basilicata,32
2024-09-02,Calabria,55
2024-09-02,Campania,220
2024-09-02,Emilia-Romagna,191
2024-09-02,Friuli-Venezia Giulia,61
2024-09-02,Lazio,219
2024-09-02,Liguria,42
2024-09-02,Lombardia,425
2024-09-02,Marche,67
2024-09-02,Molise,9
2024-09-02,Piemonte,178
2024-09-02,Puglia,180
2024-09-02,Sardegna,67
2024-09-02,Sicilia,175
2024-09-02,Toscana,168
2024-09-02,Trentino-Alto Adige,38
2024-09-02,Umbria,31
2024-09-02,Valle d'Aosta,3
2024-09-02,Veneto,233
2024-09-09,Abruzzo,56
2024-09-09,Basilicata,23
2024-09-09,Calabria,45
2024-09-09,Campania,292
2024-09-09,Emilia-Romagna,152
2024-09-09,Friuli-Venezia Giulia,50
2024-09-09,Lazio,191
2024-09-09,Liguria,53
2024-09-09,Lombardia,384
2024-09-09,Marche,107
2024-09-09,Molise,16
2024-09-09,Piemonte,165
2024-09-09,Puglia,177
2024-09-09,Sardegna,74
2024-09-09,Sicilia,174
2024-09-09,Toscana,155
2024-09-09,Trentino-Alto Adige,49
2024-09-09,Umbria,35
2024-09-09,Valle d'Aosta,5
2024-09-09,Veneto,213
2024-09-16,Abruzzo,64
2024-09-16,Basilicata,28
2024-09-16,Calabria,90
2024-09-16,Campania,213
2024-09-16,Emilia-Romagna,169
2024-09-16,Friuli-Venezia Giulia,66
2024-09-16,Lazio,202
2024-09-16,Liguria,35
2024-09-16,Lombardia,467
2024-09-16,Marche,73
2024-09-16,Molise,3
2024-09-16,Piemonte,150
2024-09-16,Puglia,175
2024-09-16,Sardegna,46
2024-09-16,Sicilia,218
2024-09-16,Toscana,112
2024-09-16,Trentino-Alto Adige,23
2024-09-16,Umbria,29
2024-09-16,Valle d'Aosta,1
2024-09-16,Veneto,238
2024-09-23,Abruzzo,47
2024-09-23,Basilicata,30
2024-09-23,Calabria,58
2024-09-23,Campania,264
2024-09-23,Emilia-Romagna,197
2024-09-23,Friuli-Venezia Giulia,56
2024-09-23,Lazio,223
2024-09-23,Liguria,67
2024-09-23,Lombardia,401
2024-09-23,Marche,61
2024-09-23,Molise,22
2024-09-23,Piemonte,207
2024-09-23,Puglia,121
2024-09-23,Sardegna,60
2024-09-23,Sicilia,185
2024-09-23,Toscana,173
2024-09-23,Trentino-Alto Adige,60
2024-09-23,Umbria,41
2024-09-23,Valle d'Aosta,8
2024-09-23,Veneto,227
2024-09-30,Abruzzo,48
2024-09-30,Basilicata,46
2024-09-30,Calabria,88
2024-09-30,Campania,227
2024-09-30,Emilia-Romagna,139
2024-09-30,Friuli-Venezia Giulia,21
2024-09-30,Lazio,262
2024-09-30,Liguria,77
2024-09-30,Lombardia,378
2024-09-30,Marche,44
2024-09-30,Molise,26
2024-09-30,Piemonte,181
2024-09-30,Puglia,154
2024-09-30,Sardegna,70
2024-09-30,Sicilia,202
2024-09-30,Toscana,117
2024-09-30,Trentino-Alto Adige,60
2024-09-30,Umbria,37
2024-09-30,Valle d'Aosta,13
2024-09-30,Veneto,224
2024-10-07,Abruzzo,55
2024-10-07,Basilicata,20
2024-10-07,Calabria,99
2024-10-07,Campania,226
2024-10-07,Emilia-Romagna,186
2024-10-07,Friuli-Venezia Giulia,42
2024-10-07,Lazio,219
2024-10-07,Liguria,62
2024-10-07,Lombardia,338
2024-10-07,Marche,58
2024-10-07,Molise,12
2024-10-07,Piemonte,176
2024-10-07,Puglia,178
2024-10-07,Sardegna,44
2024-10-07,Sicilia,218
2024-10-07,Toscana,180
2024-10-07,Trentino-Alto Adige,65
2024-10-07,Umbria,49
2024-10-07,Valle d'Aosta,5
2024-10-07,Veneto,219
2024-10-14,Abruzzo,52
2024-10-14,Basilicata,13
2024-10-14,Calabria,79
2024-10-14,Campania,213
2024-10-14,Emilia-Romagna,202
2024-10-14,Friuli-Venezia Giulia,59
2024-10-14,Lazio,241
2024-10-14,Liguria,83
2024-10-14,Lombardia,437
2024-10-14,Marche,88
2024-10-14,Molise,13
2024-10-14,Piemonte,187
2024-10-14,Puglia,180
2024-10-14,Sardegna,47
2024-10-14,Sicilia,183
2024-10-14,Toscana,177
2024-10-14,Trentino-Alto Adige,27
2024-10-14,Umbria,26
2024-10-14,Valle d'Aosta,2
2024-10-14,Veneto,236
2024-10-21,Abruzzo,52
2024-10-21,Basilicata,21
2024-10-21,Calabria,72
2024-10-21,Campania,244
2024-10-21,Emilia-Romagna,131
2024-10-21,Friuli-Venezia Giulia,70
2024-10-21,Lazio,304
2024-10-21,Liguria,61
2024-10-21,Lombardia,475
2024-10-21,Marche,52
2024-10-21,Molise,13
2024-10-21,Piemonte,192
2024-10-21,Puglia,170
2024-10-21,Sardegna,61
2024-10-21,Sicilia,167
2024-10-21,Toscana,136
2024-10-21,Trentino-Alto Adige,41
2024-10-21,Umbria,16
2024-10-21,Valle d'Aosta,5
2024-10-21,Veneto,207
2024-10-28,Abruzzo,39
2024-10-28,Basilicata,31
2024-10-28,Calabria,73
2024-10-28,Campania,306
2024-10-28,Emilia-Romagna,215
2024-10-28,Friuli-Venezia Giulia,62
2024-10-28,Lazio,276
2024-10-28,Liguria,97
2024-10-28,Lombardia,497
2024-10-28,Marche,50
2024-10-28,Molise,6
2024-10-28,Piemonte,158
2024-10-28,Puglia,125
2024-10-28,Sardegna,53
2024-10-28,Sicilia,202
2024-10-28,Toscana,103
2024-10-28,Trentino-Alto Adige,52
2024-10-28,Umbria,31
2024-10-28,Valle d'Aosta,10
2024-10-28,Veneto,280
2024-11-04,Abruzzo,77
2024-11-04,Basilicata,12
2024-11-04,Calabria,84
2024-11-04,Campania,261
2024-11-04,Emilia-Romagna,264
2024-11-04,Friuli-Venezia Giulia,76
2024-11-04,Lazio,272
2024-11-04,Liguria,63
2024-11-04,Lombardia,426
2024-11-04,Marche,57
2024-11-04,Molise,21
2024-11-04,Piemonte,186
2024-11-04,Puglia,166
2024-11-04,Sardegna,58
2024-11-04,Sicilia,216
2024-11-04,Toscana,162
2024-11-04,Trentino-Alto Adige,47
2024-11-04,Umbria,52
2024-11-04,Valle d'Aosta,6
2024-11-04,Veneto,238
2024-11-11,Abruzzo,43
