settimana,regione,ricerche_candidati
2024-03-11,Abruzzo,75
2024-03-11,Basilicata,41
2024-03-11,Calabria,143
2024-03-11,Campania,413
2024-03-11,Emilia-Romagna,347
2024-03-11,Friuli-Venezia Giulia,61
2024-03-11,Lazio,466
2024-03-11,Liguria,121
2024-03-11,Lombardia,715
2024-03-11,Marche,114
2024-03-11,Molise,23
2024-03-11,Piemonte,278
2024-03-11,Puglia,385
2024-03-11,Sardegna,160
2024-03-11,Sicilia,455
2024-03-11,Toscana,264
2024-03-11,Trentino-Alto Adige,117
2024-03-11,Umbria,59
2024-03-11,Valle d'Aosta,20
2024-03-11,Veneto,406
2024-03-18,Abruzzo,86
2024-03-18,Basilicata,33
2024-03-18,Calabria,191
2024-03-18,Campania,521
2024-03-18,Emilia-Romagna,322
2024-03-18,Friuli-Venezia Giulia,96
2024-03-18,Lazio,426
2024-03-18,Liguria,136
2024-03-18,Lombardia,790
2024-03-18,Marche,116
2024-03-18,Molise,22
2024-03-18,Piemonte,429
2024-03-18,Puglia,271
2024-03-18,Sardegna,123
2024-03-18,Sicilia,440
2024-03-18,Toscana,342
2024-03-18,Trentino-Alto Adige,71
2024-03-18,Umbria,79
2024-03-18,Valle d'Aosta,18
2024-03-18,Veneto,446
2024-03-25,Abruzzo,89
2024-03-25,Basilicata,39
2024-03-25,Calabria,120
2024-03-25,Campania,457
2024-03-25,Emilia-Romagna,366
2024-03-25,Friuli-Venezia Giulia,97
2024-03-25,Lazio,504
2024-03-25,Liguria,125
2024-03-25,Lombardia,833
2024-03-25,Marche,80
2024-03-25,Molise,23
2024-03-25,Piemonte,411
2024-03-25,Puglia,363
2024-03-25,Sardegna,94
2024-03-25,Sicilia,393
2024-03-25,Toscana,301
2024-03-25,Trentino-Alto Adige,96
2024-03-25,Umbria,64
2024-03-25,Valle d'Aosta,22
2024-03-25,Veneto,408
2024-04-01,Abruzzo,61
2024-04-01,Basilicata,56
2024-04-01,Calabria,168
2024-04-01,Campania,446
2024-04-01,Emilia-Romagna,375
2024-04-01,Friuli-Venezia Giulia,109
2024-04-01,Lazio,432
2024-04-01,Liguria,140
2024-04-01,Lombardia,835
2024-04-01,Marche,99
2024-04-01,Molise,27
2024-04-01,Piemonte,325
2024-04-01,Puglia,390
2024-04-01,Sardegna,143
2024-04-01,Sicilia,444
2024-04-01,Toscana,201
2024-04-01,Trentino-Alto Adige,91
2024-04-01,Umbria,95
2024-04-01,Valle d'Aosta,1
2024-04-01,Veneto,465
2024-04-08,Abruzzo,89
2024-04-08,Basilicata,42
2024-04-08,Calabria,132
2024-04-08,Campania,508
2024-04-08,Emilia-Romagna,392
2024-04-08,Friuli-Venezia Giulia,115
2024-04-08,Lazio,428
2024-04-08,Liguria,150
2024-04-08,Lombardia,789
2024-04-08,Marche,143
2024-04-08,Molise,38
2024-04-08,Piemonte,342
2024-04-08,Puglia,341
2024-04-08,Sardegna,130
2024-04-08,Sicilia,296
2024-04-08,Toscana,348
2024-04-08,Trentino-Alto Adige,82
2024-04-08,Umbria,68
2024-04-08,Valle d'Aosta,18
2024-04-08,Veneto,407
2024-04-15,Abruzzo,110
2024-04-15,Basilicata,77
2024-04-15,Calabria,180
2024-04-15,Campania,513
2024-04-15,Emilia-Romagna,378
2024-04-15,Friuli-Venezia Giulia,117
2024-04-15,Lazio,548
2024-04-15,Liguria,127
2024-04-15,Lombardia,781
2024-04-15,Marche,139
2024-04-15,Molise,35
2024-04-15,Piemonte,350
2024-04-15,Puglia,325
2024-04-15,Sardegna,117
2024-04-15,Sicilia,453
2024-04-15,Toscana,302
2024-04-15,Trentino-Alto Adige,83
2024-04-15,Umbria,65
2024-04-15,Valle d'Aosta,15
2024-04-15,Veneto,456
2024-04-22,Abruzzo,116
2024-04-22,Basilicata,45
2024-04-22,Calabria,144
2024-04-22,Campania,496
2024-04-22,Emilia-Romagna,381
2024-04-22,Friuli-Venezia Giulia,122
2024-04-22,Lazio,536
2024-04-22,Liguria,146
2024-04-22,Lombardia,983
2024-04-22,Marche,188
2024-04-22,Molise,30
2024-04-22,Piemonte,385
2024-04-22,Puglia,373
2024-04-22,Sardegna,185
2024-04-22,Sicilia,395
2024-04-22,Toscana,298
2024-04-22,Trentino-Alto Adige,84
2024-04-22,Umbria,96
2024-04-22,Valle d'Aosta,22
2024-04-22,Veneto,396
2024-04-29,Abruzzo,113
2024-04-29,Basilicata,75
2024-04-29,Calabria,173
2024-04-29,Campania,497
2024-04-29,Emilia-Romagna,440
2024-04-29,Friuli-Venezia Giulia,92
2024-04-29,Lazio,618
2024-04-29,Liguria,174
2024-04-29,Lombardia,752
2024-04-29,Marche,107
2024-04-29,Molise,23
2024-04-29,Piemonte,339
2024-04-29,Puglia,291
2024-04-29,Sardegna,111
2024-04-29,Sicilia,407
2024-04-29,Toscana,302
2024-04-29,Trentino-Alto Adige,120
2024-04-29,Umbria,92
2024-04-29,Valle d'Aosta,11
2024-04-29,Veneto,427
2024-05-06,Abruzzo,93
2024-05-06,Basilicata,61
2024-05-06,Calabria,129
2024-05-06,Campania,489
2024-05-06,Emilia-Romagna,363
2024-05-06,Friuli-Venezia Giulia,164
2024-05-06,Lazio,520
2024-05-06,Liguria,175
2024-05-06,Lombardia,892
2024-05-06,Marche,157
2024-05-06,Molise,27
2024-05-06,Piemonte,348
2024-05-06,Puglia,303
2024-05-06,Sardegna,105
2024-05-06,Sicilia,451
2024-05-06,Toscana,417
2024-05-06,Trentino-Alto Adige,68
2024-05-06,Umbria,66
2024-05-06,Valle d'Aosta,17
2024-05-06,Veneto,423
2024-05-13,Abruzzo,149
2024-05-13,Basilicata,59
2024-05-13,Calabria,99
2024-05-13,Campania,511
2024-05-13,Emilia-Romagna,435
2024-05-13,Friuli-Venezia Giulia,107
2024-05-13,Lazio,540
2024-05-13,Liguria,121
2024-05-13,Lombardia,943
2024-05-13,Marche,119
2024-05-13,Molise,0
2024-05-13,Piemonte,335
2024-05-13,Puglia,345
2024-05-13,Sardegna,150
2024-05-13,Sicilia,382
2024-05-13,Toscana,329
2024-05-13,Trentino-Alto Adige,109
2024-05-13,Umbria,100
2024-05-13,Valle d'Aosta,0
2024-05-13,Veneto,388
2024-05-20,Abruzzo,151
2024-05-20,Basilicata,49
2024-05-20,Calabria,145
2024-05-20,Campania,546
2024-05-20,Emilia-Romagna,427
2024-05-20,Friuli-Venezia Giulia,47
2024-05-20,Lazio,530
2024-05-20,Liguria,119
2024-05-20,Lombardia,883
2024-05-20,Marche,140
2024-05-20,Molise,38
2024-05-20,Piemonte,421
2024-05-20,Puglia,424
2024-05-20,Sardegna,169
2024-05-20,Sicilia,504
2024-05-20,Toscana,287
2024-05-20,Trentino-Alto Adige,128
2024-05-20,Umbria,88
2024-05-20,Valle d'Aosta,26
2024-05-20,Veneto,486
2024-05-27,Abruzzo,97
2024-05-27,Basilicata,60
2024-05-27,Calabria,195
2024-05-27,Campania,551
2024-05-27,Emilia-Romagna,493
2024-05-27,Friuli-Venezia Giulia,126
2024-05-27,Lazio,519
2024-05-27,Liguria,137
2024-05-27,Lombardia,902
2024-05-27,Marche,145
2024-05-27,Molise,20
2024-05-27,Piemonte,392
2024-05-27,Puglia,346
2024-05-27,Sardegna,121
2024-05-27,Sicilia,466
2024-05-27,Toscana,293
2024-05-27,Trentino-Alto Adige,107
2024-05-27,Umbria,57
2024-05-27,Valle d'Aosta,9
2024-05-27,Veneto,403
2024-06-03,Abruzzo,114
2024-06-03,Basilicata,65
2024-06-03,Calabria,154
2024-06-03,Campania,555
2024-06-03,Emilia-Romagna,443
2024-06-03,Friuli-Venezia Giulia,83
2024-06-03,Lazio,584
2024-06-03,Liguria,157
2024-06-03,Lombardia,938
2024-06-03,Marche,150
2024-06-03,Molise,28
2024-06-03,Piemonte,418
2024-06-03,Puglia,390
2024-06-03,Sardegna,150
2024-06-03,Sicilia,441
2024-06-03,Toscana,311
2024-06-03,Trentino-Alto Adige,74
2024-06-03,Umbria,90
2024-06-03,Valle d'Aosta,22
2024-06-03,Veneto,453
2024-06-10,Abruzzo,141
2024-06-10,Basilicata,37
2024-06-10,Calabria,241
2024-06-10,Campania,636
2024-06-10,Emilia-Romagna,362
2024-06-10,Friuli-Venezia Giulia,100
2024-06-10,Lazio,511
2024-06-10,Liguria,153
2024-06-10,Lombardia,959
2024-06-10,Marche,155
2024-06-10,Molise,15
2024-06-10,Piemonte,371
2024-06-10,Puglia,402
2024-06-10,Sardegna,207
2024-06-10,Sicilia,412
2024-06-10,Toscana,348
2024-06-10,Trentino-Alto Adige,80
2024-06-10,Umbria,82
2024-06-10,Valle d'Aosta,7
2024-06-10,Veneto,438
2024-06-17,Abruzzo,76
2024-06-17,Basilicata,57
2024-06-17,Calabria,198
2024-06-17,Campania,564
2024-06-17,Emilia-Romagna,440
2024-06-17,Friuli-Venezia Giulia,120
2024-06-17,Lazio,422
2024-06-17,Liguria,138
2024-06-17,Lombardia,872
2024-06-17,Marche,138
2024-06-17,Molise,26
2024-06-17,Piemonte,335
2024-06-17,Puglia,408
2024-06-17,Sardegna,138
2024-06-17,Sicilia,480
2024-06-17,Toscana,295
2024-06-17,Trentino-Alto Adige,71
2024-06-17,Umbria,95
2024-06-17,Valle d'Aosta,6
2024-06-17,Veneto,515
2024-06-24,Abruzzo,75
2024-06-24,Basilicata,42
2024-06-24,Calabria,163
2024-06-24,Campania,502
2024-06-24,Emilia-Romagna,565
2024-06-24,Friuli-Venezia Giulia,100
2024-06-24,Lazio,660
2024-06-24,Liguria,211
2024-06-24,Lombardia,917
2024-06-24,Marche,189
2024-06-24,Molise,20
2024-06-24,Piemonte,361
2024-06-24,Puglia,394
2024-06-24,Sardegna,193
2024-06-24,Sicilia,524
2024-06-24,Toscana,341
2024-06-24,Trentino-Alto Adige,132
2024-06-24,Umbria,71
2024-06-24,Valle d'Aosta,19
2024-06-24,Veneto,546
2024-07-01,Abruzzo,106
2024-07-01,Basilicata,47
2024-07-01,Calabria,185
2024-07-01,Campania,499
2024-07-01,Emilia-Romagna,466
2024-07-01,Friuli-Venezia Giulia,112
2024-07-01,Lazio,560
2024-07-01,Liguria,120
2024-07-01,Lombardia,871
2024-07-01,Marche,121
2024-07-01,Molise,40
2024-07-01,Piemonte,391
2024-07-01,Puglia,432
2024-07-01,Sardegna,134
2024-07-01,Sicilia,491
2024-07-01,Toscana,346
2024-07-01,Trentino-Alto Adige,98
2024-07-01,Umbria,114
2024-07-01,Valle d'Aosta,12
2024-07-01,Veneto,384
2024-07-08,Abruzzo,36
2024-07-08,Basilicata,65
2024-07-08,Calabria,190
2024-07-08,Campania,584
2024-07-08,Emilia-Romagna,507
2024-07-08,Friuli-Venezia Giulia,128
2024-07-08,Lazio,551
2024-07-08,Liguria,140
2024-07-08,Lombardia,921
2024-07-08,Marche,131
2024-07-08,Molise,24
2024-07-08,Piemonte,398
2024-07-08,Puglia,453
2024-07-08,Sardegna,160
2024-07-08,Sicilia,428
2024-07-08,Toscana,332
2024-07-08,Trentino-Alto Adige,115
2024-07-08,Umbria,67
2024-07-08,Valle d'Aosta,15
2024-07-08,Veneto,426
2024-07-15,Abruzzo,120
2024-07-15,Basilicata,56
2024-07-15,Calabria,146
2024-07-15,Campania,603
2024-07-15,Emilia-Romagna,492
2024-07-15,Friuli-Venezia Giulia,97
2024-07-15,Lazio,572
2024-07-15,Liguria,162
2024-07-15,Lombardia,890
2024-07-15,Marche,113
2024-07-15,Molise,38
2024-07-15,Piemonte,402
2024-07-15,Puglia,349
2024-07-15,Sardegna,115
2024-07-15,Sicilia,480
2024-07-15,Toscana,313
2024-07-15,Trentino-Alto Adige,120
2024-07-15,Umbria,63
2024-07-15,Valle d'Aosta,10
2024-07-15,Veneto,444
2024-07-22,Abruzzo,70
2024-07-22,Basilicata,48
2024-07-22,Calabria,134
2024-07-22,Campania,549
2024-07-22,Emilia-Romagna,506
2024-07-22,Friuli-Venezia Giulia,151
2024-07-22,Lazio,501
2024-07-22,Liguria,168
2024-07-22,Lombardia,830
2024-07-22,Marche,163
2024-07-22,Molise,15
2024-07-22,Piemonte,352
2024-07-22,Puglia,379
2024-07-22,Sardegna,177
2024-07-22,Sicilia,462
2024-07-22,Toscana,333
2024-07-22,Trentino-Alto Adige,93
2024-07-22,Umbria,49
2024-07-22,Valle d'Aosta,15
2024-07-22,Veneto,415
2024-07-29,Abruzzo,111
2024-07-29,Basilicata,7
2024-07-29,Calabria,169
2024-07-29,Campania,479
2024-07-29,Emilia-Romagna,417
2024-07-29,Friuli-Venezia Giulia,86
2024-07-29,Lazio,468
2024-07-29,Liguria,105
2024-07-29,Lombardia,766
2024-07-29,Marche,115
2024-07-29,Molise,29
2024-07-29,Piemonte,320
2024-07-29,Puglia,287
2024-07-29,Sardegna,132
2024-07-29,Sicilia,460
2024-07-29,Toscana,285
2024-07-29,Trentino-Alto Adige,136
2024-07-29,Umbria,113
2024-07-29,Valle d'Aosta,7
2024-07-29,Veneto,464
2024-08-05,Abruzzo,92
2024-08-05,Basilicata,41
2024-08-05,Calabria,216
2024-08-05,Campania,498
2024-08-05,Emilia-Romagna,352
2024-08-05,Friuli-Venezia Giulia,108
2024-08-05,Lazio,459
2024-08-05,Liguria,101
2024-08-05,Lombardia,765
2024-08-05,Marche,110
2024-08-05,Molise,33
2024-08-05,Piemonte,323
2024-08-05,Puglia,382
2024-08-05,Sardegna,120
2024-08-05,Sicilia,357
2024-08-05,Toscana,347
2024-08-05,Trentino-Alto Adige,92
2024-08-05,Umbria,107
2024-08-05,Valle d'Aosta,10
2024-08-05,Veneto,395
2024-08-12,Abruzzo,111
2024-08-12,Basilicata,30
2024-08-12,Calabria,175
2024-08-12,Campania,482
2024-08-12,Emilia-Romagna,309
2024-08-12,Friuli-Venezia Giulia,124
2024-08-12,Lazio,356
2024-08-12,Liguria,107
2024-08-12,Lombardia,866
2024-08-12,Marche,105
2024-08-12,Molise,29
2024-08-12,Piemonte,353
2024-08-12,Puglia,304
2024-08-12,Sardegna,106
2024-08-12,Sicilia,337
2024-08-12,Toscana,307
2024-08-12,Trentino-Alto Adige,79
2024-08-12,Umbria,54
2024-08-12,Valle d'Aosta,7
2024-08-12,Veneto,477
2024-08-19,Abruzzo,117
2024-08-19,Basilicata,30
2024-08-19,Calabria,115
2024-08-19,Campania,475
2024-08-19,Emilia-Romagna,308
2024-08-19,Friuli-Venezia Giulia,97
2024-08-19,Lazio,522
2024-08-19,Liguria,156
2024-08-19,Lombardia,684
2024-08-19,Marche,131
2024-08-19,Molise,0
2024-08-19,Piemonte,295
2024-08-19,Puglia,302
2024-08-19,Sardegna,141
2024-08-19,Sicilia,421
2024-08-19,Toscana,287
2024-08-19,Trentino-Alto Adige,102
2024-08-19,Umbria,85
2024-08-19,Valle d'Aosta,1
2024-08-19,Veneto,406
2024-08-26,Abruzzo,86
2024-08-26,Basilicata,55
2024-08-26,Calabria,181
2024-08-26,Campania,481
2024-08-26,Emilia-Romagna,414
2024-08-26,Friuli-Venezia Giulia,85
2024-08-26,Lazio,548
2024-08-26,Liguria,100
2024-08-26,Lombardia,861
2024-08-26,Marche,126
2024-08-26,Molise,30
2024-08-26,Piemonte,321
2024-08-26,Puglia,371
2024-08-26,Sardegna,175
2024-08-26,Sicilia,443
2024-08-26,Toscana,332
2024-08-26,Trentino-Alto Adige,81
2024-08-26,Umbria,125
2024-08-26,Valle d'Aosta,16
2024-08-26,Veneto,400
2024-09-02,Abruzzo,42
2024-09-02,Basilicata,36
2024-09-02,Calabria,186
2024-09-02,Campania,469
2024-09-02,Emilia-Romagna,355
2024-09-02,Friuli-Venezia Giulia,116
2024-09-02,Lazio,454
2024-09-02,Liguria,131
2024-09-02,Lombardia,926
2024-09-02,Marche,111
2024-09-02,Molise,18
2024-09-02,Piemonte,389
2024-09-02,Puglia,367
2024-09-02,Sardegna,110
2024-09-02,Sicilia,397
2024-09-02,Toscana,375
2024-09-02,Trentino-Alto Adige,91
2024-09-02,Umbria,81
2024-09-02,Valle d'Aosta,11
2024-09-02,Veneto,465
2024-09-09,Abruzzo,94
2024-09-09,Basilicata,69
2024-09-09,Calabria,137
2024-09-09,Campania,558
2024-09-09,Emilia-Romagna,414
2024-09-09,Friuli-Venezia Giulia,107
2024-09-09,Lazio,474
2024-09-09,Liguria,117
2024-09-09,Lombardia,820
2024-09-09,Marche,142
2024-09-09,Molise,26
2024-09-09,Piemonte,341
2024-09-09,Puglia,335
2024-09-09,Sardegna,167
2024-09-09,Sicilia,381
2024-09-09,Toscana,394
2024-09-09,Trentino-Alto Adige,94
2024-09-09,Umbria,26
2024-09-09,Valle d'Aosta,21
2024-09-09,Veneto,398
2024-09-16,Abruzzo,79
2024-09-16,Basilicata,24
2024-09-16,Calabria,122
2024-09-16,Campania,451
2024-09-16,Emilia-Romagna,449
2024-09-16,Friuli-Venezia Giulia,47
2024-09-16,Lazio,472
2024-09-16,Liguria,213
2024-09-16,Lombardia,911
2024-09-16,Marche,124
2024-09-16,Molise,27
2024-09-16,Piemonte,444
2024-09-16,Puglia,278
2024-09-16,Sardegna,178
2024-09-16,Sicilia,495
2024-09-16,Toscana,305
2024-09-16,Trentino-Alto Adige,84
2024-09-16,Umbria,109
2024-09-16,Valle d'Aosta,24
2024-09-16,Veneto,397
2024-09-23,Abruzzo,73
2024-09-23,Basilicata,67
2024-09-23,Calabria,88
2024-09-23,Campania,526
2024-09-23,Emilia-Romagna,333
2024-09-23,Friuli-Venezia Giulia,98
2024-09-23,Lazio,487
2024-09-23,Liguria,152
2024-09-23,Lombardia,925
2024-09-23,Marche,125
2024-09-23,Molise,28
2024-09-23,Piemonte,474
2024-09-23,Puglia,311
2024-09-23,Sardegna,164
2024-09-23,Sicilia,376
2024-09-23,Toscana,311
2024-09-23,Trentino-Alto Adige,73
2024-09-23,Umbria,76
2024-09-23,Valle d'Aosta,15
2024-09-23,Veneto,389
2024-09-30,Abruzzo,117
2024-09-30,Basilicata,52
2024-09-30,Calabria,168
2024-09-30,Campania,434
2024-09-30,Emilia-Romagna,457
2024-09-30,Friuli-Venezia Giulia,103
2024-09-30,Lazio,509
2024-09-30,Liguria,121
2024-09-30,Lombardia,863
2024-09-30,Marche,148
2024-09-30,Molise,28
2024-09-30,Piemonte,438
2024-09-30,Puglia,382
2024-09-30,Sardegna,127
2024-09-30,Sicilia,463
2024-09-30,Toscana,306
2024-09-30,Trentino-Alto Adige,121
2024-09-30,Umbria,97
2024-09-30,Valle d'Aosta,4
2024-09-30,Veneto,492
2024-10-07,Abruzzo,110
2024-10-07,Basilicata,35
2024-10-07,Calabria,172
2024-10-07,Campania,412
2024-10-07,Emilia-Romagna,389
2024-10-07,Friuli-Venezia Giulia,126
2024-10-07,Lazio,508
2024-10-07,Liguria,116
2024-10-07,Lombardia,947
2024-10-07,Marche,160
2024-10-07,Molise,22
2024-10-07,Piemonte,414
2024-10-07,Puglia,368
2024-10-07,Sardegna,146
2024-10-07,Sicilia,371
2024-10-07,Toscana,383
2024-10-07,Trentino-Alto Adige,80
2024-10-07,Umbria,56
2024-10-07,Valle d'Aosta,15
2024-10-07,Veneto,489
2024-10-14,Abruzzo,138
2024-10-14,Basilicata,52
2024-10-14,Calabria,151
2024-10-14,Campania,530
2024-10-14,Emilia-Romagna,374
2024-10-14,Friuli-Venezia Giulia,139
2024-10-14,Lazio,558
2024-10-14,Liguria,133
2024-10-14,Lombardia,1129
2024-10-14,Marche,163
2024-10-14,Molise,13
2024-10-14,Piemonte,441
2024-10-14,Puglia,385
2024-10-14,Sardegna,146
2024-10-14,Sicilia,402
2024-10-14,Toscana,385
2024-10-14,Trentino-Alto Adige,106
2024-10-14,Umbria,66
2024-10-14,Valle d'Aosta,4
2024-10-14,Veneto,488
2024-10-21,Abruzzo,142
2024-10-21,Basilicata,54
2024-10-21,Calabria,181
2024-10-21,Campania,517
2024-10-21,Emilia-Romagna,496
2024-10-21,Friuli-Venezia Giulia,124
2024-10-21,Lazio,579
2024-10-21,Liguria,150
2024-10-21,Lombardia,1047
2024-10-21,Marche,163
2024-10-21,Molise,7
2024-10-21,Piemonte,393
2024-10-21,Puglia,377
2024-10-21,Sardegna,129
2024-10-21,Sicilia,447
2024-10-21,Toscana,356
2024-10-21,Trentino-Alto Adige,88
2024-10-21,Umbria,100
2024-10-21,Valle d'Aosta,8
2024-10-21,Veneto,495
2024-10-28,Abruzzo,135
2024-10-28,Basilicata,36
2024-10-28,Calabria,167
2024-10-28,Campania,566
2024-10-28,Emilia-Romagna,370
2024-10-28,Friuli-Venezia Giulia,100
2024-10-28,Lazio,508
2024-10-28,Liguria,169
2024-10-28,Lombardia,1045
2024-10-28,Marche,172
2024-10-28,Molise,24
2024-10-28,Piemonte,503
2024-10-28,Puglia,337
2024-10-28,Sardegna,102
2024-10-28,Sicilia,361
2024-10-28,Toscana,317
2024-10-28,Trentino-Alto Adige,92
2024-10-28,Umbria,75
2024-10-28,Valle d'Aosta,10
2024-10-28,Veneto,453
2024-11-04,Abruzzo,127
2024-11-04,Basilicata,25
2024-11-04,Calabria,130
2024-11-04,Campania,668
2024-11-04,Emilia-Romagna,451
2024-11-04,Friuli-Venezia Giulia,82
2024-11-04,Lazio,552
2024-11-04,Liguria,107
2024-11-04,Lombardia,1066
2024-11-04,Marche,133
2024-11-04,Molise,39
2024-11-04,Piemonte,394
2024-11-04,Puglia,338
2024-11-04,Sardegna,176
2024-11-04,Sicilia,461
2024-11-04,Toscana,382
2024-11-04,Trentino-Alto Adige,102
2024-11-04,Umbria,116
2024-11-04,Valle d'Aosta,13
2024-11-04,Veneto,483
